t=2026-04-15T01:25:36+0100 lvl=info msg="no configuration paths supplied"
t=2026-04-15T01:25:36+0100 lvl=info msg="using configuration at default config path" path=C:\\Users\\Admin\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-04-15T01:25:36+0100 lvl=info msg="open config file" path=C:\\Users\\Admin\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-04-15T01:25:36+0100 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-15T01:25:36+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-15T01:25:37+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-15T01:25:37+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-15T01:25:37+0100 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8081 url=https://sacrament-subarctic-buffoon.ngrok-free.dev
t=2026-04-15T01:26:17+0100 lvl=info msg="join connections" obj=join id=b5fba3b124b0 l=[::1]:8081 r=105.115.6.34:48489
t=2026-04-15T01:26:42+0100 lvl=info msg="join connections" obj=join id=693b42bd28c7 l=[::1]:8081 r=105.115.6.34:48491
t=2026-04-15T01:26:43+0100 lvl=info msg="join connections" obj=join id=f51ff07b42a8 l=[::1]:8081 r=105.115.6.34:48492
t=2026-04-15T01:26:43+0100 lvl=info msg="join connections" obj=join id=178f6de4c6f7 l=[::1]:8081 r=105.115.6.34:48493
t=2026-04-15T01:26:53+0100 lvl=info msg="join connections" obj=join id=ba8c448e8d53 l=[::1]:8081 r=105.115.6.34:48496
t=2026-04-15T01:26:53+0100 lvl=info msg="join connections" obj=join id=016e83af4f4d l=[::1]:8081 r=105.115.6.34:48494
t=2026-04-15T01:26:53+0100 lvl=info msg="join connections" obj=join id=0c2c7c0b074a l=[::1]:8081 r=105.115.6.34:48495
t=2026-04-15T01:26:58+0100 lvl=info msg="join connections" obj=join id=5879e24568fe l=[::1]:8081 r=105.115.6.34:48496
t=2026-04-15T01:26:58+0100 lvl=info msg="join connections" obj=join id=cf7ce3649d48 l=[::1]:8081 r=105.115.6.34:48496
t=2026-04-15T01:27:24+0100 lvl=info msg="join connections" obj=join id=8622b67c151d l=[::1]:8081 r=105.115.6.34:48500
t=2026-04-15T01:27:26+0100 lvl=info msg="join connections" obj=join id=2fb45de1164d l=[::1]:8081 r=105.115.6.34:48501
t=2026-04-15T01:27:26+0100 lvl=info msg="join connections" obj=join id=ca9ebec5deca l=[::1]:8081 r=105.115.6.34:48502
t=2026-04-15T01:27:33+0100 lvl=info msg="join connections" obj=join id=9431b7e8bdda l=[::1]:8081 r=105.115.6.34:48505
t=2026-04-15T01:27:33+0100 lvl=info msg="join connections" obj=join id=5cfa19cf3341 l=[::1]:8081 r=105.115.6.34:48503
t=2026-04-15T01:27:33+0100 lvl=info msg="join connections" obj=join id=03406de14a69 l=[::1]:8081 r=105.115.6.34:48504
t=2026-04-15T01:27:38+0100 lvl=info msg="join connections" obj=join id=ca8895e22567 l=[::1]:8081 r=105.115.6.34:48505
t=2026-04-15T01:27:38+0100 lvl=info msg="join connections" obj=join id=f88b3742a45f l=[::1]:8081 r=105.115.6.34:48505
